boy,2015/04/01,08:30,17:00,授業
boy,2015/04/02,08:30,17:00,授業
boy,2015/04/02,17:00,20:00,部活
boy,2015/04/03,08:30,17:00,授業
boy,2015/04/03,18:00,21:00,バイト
boy,2015/04/04,09:00,17:00,予備校
boy,2015/04/05,14:00,18:00,ボランティア活動
boy,2015/04/06,08:00,17:00,授業
boy,2015/04/07,08:30,17:00,授業
boy,2015/04/07,17:00,20:00,部活
boy,2015/04/08,08:30,17:00,授業
boy,2015/04/09,09:00,16:30,授業
girl,2015/04/01,08:00,15:00,授業
girl,2015/04/01,18:00,21:00,合コン
girl,2015/04/02,08:00,15:00,授業
girl,2015/04/03,08:00,15:00,授業
girl,2015/04/04,15:00,20:00,塾
girl,2015/04/05,07:00,20:00,家族旅行
girl,2015/04/06,09:00,16:00,授業
girl,2015/04/07,08:00,15:00,授業
girl,2015/04/07,17:00,20:00,合コン
girl,2015/04/08,08:00,15:00,授業
girl,2015/04/08,15:00,18:00,部活
girl,2015/04/09,08:30,16:00,授業
girl,2015/04/09,19:00,22:00,塾
